uid,email,username,password,surname,name
b98bf30f-ebec-48b4-b5a3-e76f9f292f6f,dimosthenstephanid80@yandex.com,dimosstephanid9,dd72d3885503f820a5cb96e90eddc3c0,Stephanidis,Dimosthenis
e1c93936-8a00-452c-be5c-d7e4247cf93d,thaliflor88@protonmail.com,tfloro6,7cd384494a3b02380f1b3931e0e25d2f,Florou,Thalia
240ebfb1-9a19-430f-9482-e6206cfe9aac,veniiordan67@yandex.com,venior9,1ed313156f43342bbf85d8df61550426,Iordanou,Veniamin
a4678191-5376-4627-8e5f-acf46ab3c713,savpap66@yahoo.com,sior0,8e4f6df7fb198e1de4f4b35a16cc0305,Papadelis,Savvas
a92a5a35-6e61-455e-94e6-6df3aa6bb2fb,verap62@yandex.com,vera3,969581662196c60049f69cab7e0f0fe9,Rapti,Venetia
4769f9f7-8300-4924-9b34-3369a0f4d9b7,harargy85@protonmail.com,harg3,c2425bdb3b49013d119c221ff8f05c14,Argyris,Haris
8bf08b6d-e2ba-4a30-9309-e65d8fd81431,ioananton102@hotmail.com,hanto5,d19862a9d23d42c1d7ee3854a5078c6a,Antoniou,Ioannis
0f18fd57-89cc-4233-99ef-a7604dc244a9,theofilopapadopo105@uop.gr,theofpap5,94bd5ef14eb0d55c1b9a67a7ea5f7779,Papadopoulos,Theofilos
d6c4ec29-5954-4420-a0da-809a78172ab9,alkiviadipapa93@gmail.com,papadim7,ca7ca02a1cdb27b166fb74bd444c2ce9,Papadimitriou,Alkiviadis
2affcf3d-b2f1-4705-9096-87b83a59b58b,ignatiomichel61@uop.gr,imic1,3c57a704786d803f99176cd303e32f5f,Michelakis,Ignatios
1670f639-5ae5-4dca-9d8a-b70f5f849c14,kallirstefan101@yandex.com,kstefa7,1ba9f080632e6be4eb0291175be1371d,Stefanidi,Kallirroi
1c18a8fe-53c7-49a2-bbc7-e2354a7a17af,thstefan105@hotmail.com,theofstefa5,d37f4b9668a030f732d109b55543cf1d,Stefanidi,Theofania
03844f2e-b0fd-4e69-bde1-3b4404ce1eef,prokopantonio87@protonmail.com,prokant3,081b51fe2b340c001b3eca4d6a8bca34,Antoniou,Prokopis
69bb82bb-95c2-4522-ac3a-1375cf960f75,chryargy79@aol.com,chrysana9,4eeb7369dfb20e2db62dd15a8a9887f7,Argyris,Chrysanthos
71ea93b3-dcb0-45dd-b0c6-fc1cc3c54bed,petroulimn71@aol.com,petrolimni9,04a6589073d5cf3f17aa896b2ad7b78b,Limnioti,Petroula
4b16d706-5352-46a0-a241-1eedd09765e0,kamarin79@outlook.com,kallmari7,7ed173fe50f33a23c2893c12f64bb41f,Marinou,Kallirroi
0832873f-44aa-4913-83a2-5889e031f115,klpap82@protonmail.com,klpap1,3f6015b30e1ad7a10deedc422afd6909,Papadaki,Klio
d42bf7dd-fcf2-4d64-a9ee-99007020b19f,appapag89@protonmail.com,apospapageo2,a7ab616fbe8fcd6defba20c767e2cccc,Papageorgiou,Apostolis
8bc55c9f-b10b-48c2-a6c5-f49619985c7d,evgesta98@yandex.com,evgsta3,927ad7acf99bf5df58d77fb63247a3d9,Stavrou,Evgenios
74f5fdce-34ff-4434-9e11-fb251ff4d804,argyandre95@outlook.com,arandrea6,31b67d29ae20d3079542da551ff2fd23,Andreatos,Argyris
b8bdd1de-04d3-4e3d-976d-a40cf3ee2c72,yopap79@outlook.com,papa6,2b2d769f98f2038bf61a4d5dc8ff809e,Papageorgiou,Yorgos
2ee70708-2e29-49cb-bf95-e22cb3fa396c,smarmarino90@yandex.com,smar2,6df40705b9ed38904e39823fd85e57e4,Marini,Smaragda
